,id,date,rating,views,like,title,text
11,5,coorocr***예매자,2023.06.05,조회 0,"공감 0
공감하기",즐거웠어요,페어막이 빨라서 아쉽지만 정말 좋았어요
12,5,coorocr***예매자,2023.06.05,조회 0,"공감 0
공감하기",넘버가 정말 좋아요,넘버에 서사가 다 담겨 있어요
13,5,coorocr***예매자,2023.06.05,조회 0,"공감 0
공감하기",재미있어요,즐겁고 행복했습니다
14,5,pa***예매자,2023.06.05,조회 0,"공감 0
공감하기",넘버가 너무 좋았어요,휴일이라 집에만 있기 싫어서 대학로에 유명한 뮤지컬 서치 좀 해보다가 해적이 있길래 봤어요. 피서안가도 될 정도로 에어컨을 빵빵하게 틀어줘서 너무 추웠네요. 그렇게 추우니 제가 북극해에 있는 해적선에 타고 있는 기분이 들었습니다. 그리고 나중에는 추위도 잊을 만큼 열연하는 배우님들 덕분에 몰입해서 추위가 뭔지도 잊고 집중해서 봤어요ㅠㅠ 삶이 무료하다고 생각되시면 꼭 보시길 추천드립니다.
15,4,a***예매자,2023.06.05,조회 0,"공감 0
공감하기",재밌었어요,재밌었어요
16,5,k81***예매자,2023.03.27,조회 386,"공감 5
공감하기",베스트바닷마을에서 자란 내 꿈도 해적이었어,"어릴때 나는 해적을 동경했다. 해적이 되고싶기도 했다. 물론 진짜 해적 말고 소설에나 나오던 멋지고 낭만 가득한 해적ㅋㅋ 바다가 있는 도시에서 살아서였을까, 아니면 지금과 달리 용맹하고 모험심 강하던 어린 내게 해적이 딱 맞아떨어지는 영웅같은 존재였던걸까. 아무튼 난 해적이 좋았다. 그래서 해적이 주인공인 소설을 썼고 개성 넘치는 해적을 그려 살아나게 했다. 그때 내 침대는 해적선이 됐고 노트에 반듯하게 그어진 줄은 파도가 되었으며 내가 쓴 소설의 활자는 멋진 선원이 되어 항해했다. 내가 휘둘렀던건 커다란 해적칼이 아닌 조그만 연필따위였지만 상관없었다. 나는 이미 머리를 땋아 늘어트린 멋진 해적이었으니!

뮤지컬 해적은 그때 내 꿈과 환상을 그대로 옮겨놓았다. 내가 사랑하던 해적 캐릭터들이 모두 등장했다.
전설로 통하는 무시무시한 캡틴 잭과 해적의 자식이자 열정 가득한 신입 선원 루이스, 하늘의 별도 쏘아 그 조각으로 반짝이는 검은 바다를 만들어내는 앤과 포세이돈이라 불리우며 칼 두자루로 소용돌이를 그리는 메리.
마지막 항해를 마친 루이스의 아버지 케일럽은 숨을 거두고 그의 친구 잭이 루이스를 찾아온다. 루이스는 아버지가 남긴 보물섬 지도를 빌미삼아 잭의 해적선에 올라타고 두 사람은 로즈 아일랜드로 떠난다. 그 과정에서 명사수이지만 사생아란 존재로 없는 사람이 되어야 했던 앤과 죽은 오빠 대신 옷을 입고 칼을 든 메리를 만난다.
사실 이야기와 사건은 간단했다. 그럼에도 이 해적들의 이야기는 눈물샘을 자극했다.
잭은 무자비한 캡틴이지만 사실 단 한번도 직접 누군가를 죽여본적 없으며 전투 중 도망쳐 무인도에 버려지기도 했다. 하지만 잭은 선원들을 이끌었고 루이스를 지켰다. 해적은 사랑하면 안 된다면서 그 누구보다 동료들을, 바다를 사랑한 잭은 어릴적 내가 그린 이상적인 바로 그 해적이었다. 어릴때 내가 쓴 소설 속 해적도 사람을 죽이지 않았다. 멋진 쌍칼을 들고 있지만 단 한번도 죽음의 장면은 나오지 않았다. 내게 해적은 누군가를 죽이는 존재도 죽는 존재도 아니었다. 그러니 잭도 죽지 않았으리라 믿고싶다. 다시 한번 대왕거북이의 등을 타고 저 검푸른 바다를 향해 나아갔길. 그만의 무인도에 멋진 해적 세상을 꾸며 루이스를 기다리고 있기를.
루이스는 마치 나같았다. 해적의 황금시대 이야기를 쓰고 항해일지를 썼다. 그리고 해적이 되었다. 아버지를 잃었지만 대신 바다를 얻었고 잭을 만났다. 내가 상상으로 하던 일을 실제로 겪은 루이스의 모험이라니! 관극을 하는 내내 나는 2n살의 성인이 아닌 11살의 어린아이가 된 것 같았다.
자 루이스와 멋진 항해를 떠나자!
모든 이들이 비밀을 털어놓지만 그것을 잘 지켜주는 루이스도 훌륭한 해적이지, 그럼!
사실 나는 고전적인걸 좋아해서(?) 해적도 총보단 칼파였다. 크고 빛나는 칼이야말로 해적의 상징이지 라고 생각했다. 하지만 앤의 아름다운 총성에 마음이 조금 흔들린 것 같다. 스텔라마리스때 앤이 쏜 별이 조각조각 흩어져 검은 바다와 객석까지 뒤덮었을때 주책맞게 왈칵 눈물이 났다. 저 별 조각 하나하나가 누구나 마음에 품고있는 솔직한 꿈, 작은 소망처럼 느껴졌다.
메리의 쌍검은 고전적인 내 심장을 아주 벌렁이게 만들었다. 잭이 내적으로 이상적인 나의 해적이었다면, 메리는 내가 상상했던 해적의 완벽한 외적 이상형이었다. 게다가 짧은 넘버로도 느껴지는 서러운 서사까지..모든 것을 포기하고 죽길 바라던 순간 죽기 직전의 순간 자신과 비슷한 앤을 만나고 사랑에 빠지는 눈빛은 잊혀지지가 않는다.
육지의 세상에서는 지워졌지만, 바다의 한가운데선 그 누구도 모를 수 없는 총잡이와 검투사가 된 앤과 메리. 살기 위해 내던져진 바다에서 오히려 이름과 자유를 찾은 두 여자의 모순이 아름다웠다. 그런 서로를 알아보고 한눈에 사랑에 빠지지만 이별 앞에서 손을 놓지 않고 언제나 꿈속에서 기다릴거라는 절절히 고백까지. 내 마음속 해적의 사랑, 낭만은 이런 것이었다.
어린 잭에게 흔쾌히 은화를 준 하워드와 그런 하워드의 로즈 사파이어빛 죽음을 지켜볼 수 밖에 없었던 잭의 서사도 좋았다. 누군가의 꿈이 되어준 해적이 언젠가 절망이 될 수도 있음을.

해적, 이 낭만적인 이야기의 마지막쯤 대사가 마음 깊이 남는다.
""그리고 그곳에 해적들이 있었다.""
그곳은 어디일까.
망망한 바다, 혹은 어린시절 내 작은 방?
아니 어쩌면 아직도 펄럭이는 졸리로저를 보며 두근대는 내 마음속이 가장 맞는 답일지도 모르겠다."
17,4,pa***예매자,2023.06.05,조회 0,"공감 0
공감하기",금세기 최고 극악무도한 뮤지컬,실컷 웃다가 갑자기 해적들이 몰락하더니 울음을 못 참게 만드네요ㅠㅠ 어떻게 이럴 수 있죠??? 온 가족이 다 와서 봐도 될만큼 연령대가 폭넓은 뮤지컬입니다 초등학생들도 부모님도 온가족이 즐길 수 있는 해적~ 마지막 막공까지 꼭 보시길 추천합니다. 강추^^
18,4,a***예매자,2023.06.05,조회 0,"공감 0
공감하기",재밌었어요,재밌었어요
19,4,pa***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적들의 사랑이야기,"해적이라고 하면 모험,약탈,보물 이야기가 꼭 들어가는 것 같은데 이런 이야기로 뮤지컬을 만들 수 있다니 정말 동화 같아요 김수연 정연 배우님들이 표현하는 루이스잭앤메리가 너무 훌륭했습니다ㅠㅠ 추천드려요 !!"
20,1,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋았습니다,잘 만든 창작극
21,4,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",캐스팅변경 아쉽지만 즐겁게관람,했습니다앙
22,2,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋은 극입니다만,캐스틴변경 아쉬워오
23,4,s890***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋아오,좋있습니다
24,5,tnals1***예매자,2023.06.05,조회 0,"공감 0
공감하기",루이스가 행복했으면 좋겠다.,항해일지를 쓰는거야. 우리가 행복할 수 있게.. 루이스 잭 앤 메리 모두 반드시 행복해줬으면 좋겟어!?!?!?
25,5,knif***예매자,2023.06.05,조회 0,"공감 0
공감하기",너무 좋아요,진짜 좋았어요 ㅠㅠ
26,5,sim***예매자,2023.06.05,조회 0,"공감 0
공감하기",모태해적...,은 울지 않는다는데 그냥 볼때마다 줄줄 울고 나오게 되는 극... 사실 스토리는 좀 듬성듬성 비어있는 느낌인데 배우들이 그걸 너무 잘 채워줘요 노래도 이게 뭔가 싶다가도 흥얼거리게 되는 묘한 매력... 이게 모태해적의힘이다
27,5,xnldr***예매자,2023.06.05,조회 0,"공감 0
공감하기",최고에요,너무나도 행복한 공연
28,5,lemoned1***예매자,2023.06.05,조회 0,"공감 0
공감하기",오늘도 재밌구나,"물론 어제도 재밌었다
맨날 맨날 재밌고 넘버도 좋고 연기도 좋고
다 좋다!!!!!!"
29,5,lemoned1***예매자,2023.06.05,조회 0,"공감 0
공감하기",사랑하는 나의 최애페어...,"이제 정말 몇번 안남아서 손가락으로 세어가며 보고 있어...ㅠㅠㅠㅠ
언제나 레전!!!! ㅠㅠㅠㅠㅠ"
30,5,wngp***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋았어요,재밌어요
31,5,saja5***예매자,2023.06.05,조회 0,"공감 0
공감하기",^,강추합니다
32,5,k81***예매자,2023.03.27,조회 386,"공감 5
공감하기",베스트바닷마을에서 자란 내 꿈도 해적이었어,"어릴때 나는 해적을 동경했다. 해적이 되고싶기도 했다. 물론 진짜 해적 말고 소설에나 나오던 멋지고 낭만 가득한 해적ㅋㅋ 바다가 있는 도시에서 살아서였을까, 아니면 지금과 달리 용맹하고 모험심 강하던 어린 내게 해적이 딱 맞아떨어지는 영웅같은 존재였던걸까. 아무튼 난 해적이 좋았다. 그래서 해적이 주인공인 소설을 썼고 개성 넘치는 해적을 그려 살아나게 했다. 그때 내 침대는 해적선이 됐고 노트에 반듯하게 그어진 줄은 파도가 되었으며 내가 쓴 소설의 활자는 멋진 선원이 되어 항해했다. 내가 휘둘렀던건 커다란 해적칼이 아닌 조그만 연필따위였지만 상관없었다. 나는 이미 머리를 땋아 늘어트린 멋진 해적이었으니!

뮤지컬 해적은 그때 내 꿈과 환상을 그대로 옮겨놓았다. 내가 사랑하던 해적 캐릭터들이 모두 등장했다.
전설로 통하는 무시무시한 캡틴 잭과 해적의 자식이자 열정 가득한 신입 선원 루이스, 하늘의 별도 쏘아 그 조각으로 반짝이는 검은 바다를 만들어내는 앤과 포세이돈이라 불리우며 칼 두자루로 소용돌이를 그리는 메리.
마지막 항해를 마친 루이스의 아버지 케일럽은 숨을 거두고 그의 친구 잭이 루이스를 찾아온다. 루이스는 아버지가 남긴 보물섬 지도를 빌미삼아 잭의 해적선에 올라타고 두 사람은 로즈 아일랜드로 떠난다. 그 과정에서 명사수이지만 사생아란 존재로 없는 사람이 되어야 했던 앤과 죽은 오빠 대신 옷을 입고 칼을 든 메리를 만난다.
사실 이야기와 사건은 간단했다. 그럼에도 이 해적들의 이야기는 눈물샘을 자극했다.
잭은 무자비한 캡틴이지만 사실 단 한번도 직접 누군가를 죽여본적 없으며 전투 중 도망쳐 무인도에 버려지기도 했다. 하지만 잭은 선원들을 이끌었고 루이스를 지켰다. 해적은 사랑하면 안 된다면서 그 누구보다 동료들을, 바다를 사랑한 잭은 어릴적 내가 그린 이상적인 바로 그 해적이었다. 어릴때 내가 쓴 소설 속 해적도 사람을 죽이지 않았다. 멋진 쌍칼을 들고 있지만 단 한번도 죽음의 장면은 나오지 않았다. 내게 해적은 누군가를 죽이는 존재도 죽는 존재도 아니었다. 그러니 잭도 죽지 않았으리라 믿고싶다. 다시 한번 대왕거북이의 등을 타고 저 검푸른 바다를 향해 나아갔길. 그만의 무인도에 멋진 해적 세상을 꾸며 루이스를 기다리고 있기를.
루이스는 마치 나같았다. 해적의 황금시대 이야기를 쓰고 항해일지를 썼다. 그리고 해적이 되었다. 아버지를 잃었지만 대신 바다를 얻었고 잭을 만났다. 내가 상상으로 하던 일을 실제로 겪은 루이스의 모험이라니! 관극을 하는 내내 나는 2n살의 성인이 아닌 11살의 어린아이가 된 것 같았다.
자 루이스와 멋진 항해를 떠나자!
모든 이들이 비밀을 털어놓지만 그것을 잘 지켜주는 루이스도 훌륭한 해적이지, 그럼!
사실 나는 고전적인걸 좋아해서(?) 해적도 총보단 칼파였다. 크고 빛나는 칼이야말로 해적의 상징이지 라고 생각했다. 하지만 앤의 아름다운 총성에 마음이 조금 흔들린 것 같다. 스텔라마리스때 앤이 쏜 별이 조각조각 흩어져 검은 바다와 객석까지 뒤덮었을때 주책맞게 왈칵 눈물이 났다. 저 별 조각 하나하나가 누구나 마음에 품고있는 솔직한 꿈, 작은 소망처럼 느껴졌다.
메리의 쌍검은 고전적인 내 심장을 아주 벌렁이게 만들었다. 잭이 내적으로 이상적인 나의 해적이었다면, 메리는 내가 상상했던 해적의 완벽한 외적 이상형이었다. 게다가 짧은 넘버로도 느껴지는 서러운 서사까지..모든 것을 포기하고 죽길 바라던 순간 죽기 직전의 순간 자신과 비슷한 앤을 만나고 사랑에 빠지는 눈빛은 잊혀지지가 않는다.
육지의 세상에서는 지워졌지만, 바다의 한가운데선 그 누구도 모를 수 없는 총잡이와 검투사가 된 앤과 메리. 살기 위해 내던져진 바다에서 오히려 이름과 자유를 찾은 두 여자의 모순이 아름다웠다. 그런 서로를 알아보고 한눈에 사랑에 빠지지만 이별 앞에서 손을 놓지 않고 언제나 꿈속에서 기다릴거라는 절절히 고백까지. 내 마음속 해적의 사랑, 낭만은 이런 것이었다.
어린 잭에게 흔쾌히 은화를 준 하워드와 그런 하워드의 로즈 사파이어빛 죽음을 지켜볼 수 밖에 없었던 잭의 서사도 좋았다. 누군가의 꿈이 되어준 해적이 언젠가 절망이 될 수도 있음을.

해적, 이 낭만적인 이야기의 마지막쯤 대사가 마음 깊이 남는다.
""그리고 그곳에 해적들이 있었다.""
그곳은 어디일까.
망망한 바다, 혹은 어린시절 내 작은 방?
아니 어쩌면 아직도 펄럭이는 졸리로저를 보며 두근대는 내 마음속이 가장 맞는 답일지도 모르겠다."
33,5,kcw5***예매자,2023.06.05,조회 0,"공감 0
공감하기",언제봐도,"페어마다 보는 재미에 계속 안갈수가 없어요 너무 행복한 공연이라 계속 생각나요ㅜㅜ
매번 공연 볼때마다 전부 눈에 담고 싶어서 더 집중해서 보게 되고 마지막까지 꼭 보러 갈게요!!"
34,5,whitekr***예매자,2023.06.05,조회 1,"공감 0
공감하기","나의 마음 속에 가장 완벽한 세상은
라이브 후기","바다였어!!!!!!!
사랑하는 해적 사랑하는 려후 가지말어요....... 제발......."
35,5,kait***예매자,2023.06.05,조회 0,"공감 0
공감하기",배우분들이 너무 멋져요,해적이야기 좋았습니다 해적짱
36,5,tjil***예매자,2023.06.05,조회 0,"공감 0
공감하기","해적
라이브 후기",재밌어요~
37,5,dnk***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋았어요,좋았어요
38,5,dnk***예매자,2023.06.05,조회 0,"공감 0
공감하기",좋았어요,좋았어요
39,5,dkssuddnfl0***예매자,2023.06.05,조회 0,"공감 0
공감하기",여배페어 좋네요!!,처음으로 여배 페어 뮤지컬을 봤는데 탁월한 선택이었던 거 같아요 넘버도 좋고 연기력이 짱짱했습니다
40,5,blacksky***예매자,2023.06.05,조회 0,"공감 0
공감하기",재밌어요,또 보고싶어요
41,5,cn***예매자,2023.06.05,조회 0,"공감 0
공감하기",정말 추천합니다,배우님들 천재 아니십니까?!?!?! 대박 ㅠㅜ 너무 재밌어요 최고에요
42,5,cn***예매자,2023.06.05,조회 0,"공감 0
공감하기",추천드립니다 진심,아 넘 반했어요 천재들입니다 최고!!
43,5,mog0***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적,낭만을 아는 사람들이라면 웃다 울고 웃으며 볼 수 있는 작품
44,5,shyl1***예매자,2023.06.05,조회 0,"공감 0
공감하기",존잼,존잼~~~~!!!!!!!
45,5,mog0***예매자,2023.06.05,조회 0,"공감 0
공감하기",해적,"내가 보물을 찾는다면 작은 섬 하나 차지하고
평생 떠돌던 해적들의 지상 낙원을 만들 거야"
46,2,dusdn3***예매자,2023.06.05,조회 1,"공감 0
공감하기",별로예요,별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요 별로예요
47,5,temsnsky1***예매자,2023.06.05,조회 0,"공감 0
공감하기","해적
라이브 후기",너무 재밌습니다!
